4K频道,#genre#
海南卫视,https://live.goodiptv.club/api/bestv.php?id=hainanwshd8m/8000000
海南卫视,https://live.goodiptv.club/api/sxg.php?id=hnws_4000
海南卫视,https://live.metshop.top/msp.php?id=hinws
海南卫视,https://live.goodiptv.club/api/yqgd.php?id=hinws
河南卫视,https://live.goodiptv.club/api/bestv.php?id=hnwshd8m/8000000
河南卫视,https://live.goodiptv.club/api/sxg.php?id=hnws35_4000
河南卫视,https://live.metshop.top/msp.php?id=hnws
河北卫视,https://live.goodiptv.club/api/bestv.php?id=hbwshd8m/8000000
河北卫视,https://live.metshop.top/msp.php?id=hbws
河北卫视,https://live.goodiptv.club/api/yqgd.php?id=hbwshd
黑龙江卫视,https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000
黑龙江卫视,https://live.goodiptv.club/api/sxg.php?id=hljwsH265_4000
黑龙江卫视,https://live.metshop.top/msp.php?id=hljws
黑龙江卫视,https://live.goodiptv.club/api/yqgd.php?id=hljwshd
湖南卫视,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
湖南卫视,https://live.goodiptv.club/api/sxg.php?id=hnwsH265_4000
湖南卫视,https://live.metshop.top/msp.php?id=hunws
湖南卫视,https://live.goodiptv.club/api/yqgd.php?id=hunwshd
湖北卫视,https://live.goodiptv.club/api/bestv.php?id=hubeiws8m/8000000
湖北卫视,https://live.goodiptv.club/api/sxg.php?id=hbwsH265_4000
湖北卫视,https://live.metshop.top/msp.php?id=hubws
湖北卫视,https://live.goodiptv.club/api/yqgd.php?id=hubwshd
吉林卫视,https://live.goodiptv.club/api/bestv.php?id=jlwshd8m/8000000
吉林卫视,https://live.goodiptv.club/api/sxg.php?id=jlwsH265_4000
吉林卫视,https://live.goodiptv.club/api/yqgd.php?id=jlwshd
江苏卫视,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
江苏卫视,https://live.goodiptv.club/api/sxg.php?id=jswsH265_4000
江苏卫视,https://live.metshop.top/msp.php?id=jsws
江苏卫视,https://live.goodiptv.club/api/yqgd.php?id=jswshd
江西卫视,https://live.goodiptv.club/api/bestv.php?id=jxws8m/8000000
江西卫视,https://live.goodiptv.club/api/sxg.php?id=jxwsH265_4000
江西卫视,https://live.metshop.top/msp.php?id=jxws
江西卫视,https://live.goodiptv.club/api/yqgd.php?id=jxwshd
辽宁卫视,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000
辽宁卫视,https://live.goodiptv.club/api/sxg.php?id=lnwsHDH264_4000
辽宁卫视,https://live.metshop.top/msp.php?id=lnws
辽宁卫视,https://live.goodiptv.club/api/yqgd.php?id=lnwshd
宁夏卫视,https://live.goodiptv.club/api/yqgd.php?id=nxws
内蒙古卫视,https://live.goodiptv.club/api/sxg.php?id=nmgws_4000
内蒙古卫视,https://live.goodiptv.club/api/yqgd.php?id=nmws
青海卫视,https://live.goodiptv.club/api/yqgd.php?id=qhws
山东卫视,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
山东卫视,https://live.goodiptv.club/api/sxg.php?id=sdwsH265_4000
山东卫视,https://live.metshop.top/msp.php?id=sdws
山东卫视,https://live.goodiptv.club/api/yqgd.php?id=sdwshd
山西卫视,https://live.goodiptv.club/api/sxg.php?id=sxws42_4000
山西卫视,https://live.goodiptv.club/api/yqgd.php?id=sxiwshd
陕西卫视,https://live.goodiptv.club/api/sxg.php?id=sxws_4000
深圳卫视,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
深圳卫视,https://live.goodiptv.club/api/sxg.php?id=szwsH265_4000
深圳卫视,https://live.metshop.top/msp.php?id=szws
深圳卫视,https://live.goodiptv.club/api/yqgd.php?id=szwshd
四川卫视,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000
四川卫视,https://live.goodiptv.club/api/sxg.php?id=scwsH265_4000
四川卫视,https://live.metshop.top/msp.php?id=scws
四川卫视,https://live.goodiptv.club/api/yqgd.php?id=scwshd
天津卫视,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000
天津卫视,https://live.goodiptv.club/api/sxg.php?id=tjwsH265_4000
天津卫视,https://live.metshop.top/msp.php?id=tjws
天津卫视,https://live.goodiptv.club/api/yqgd.php?id=tjwshd
新疆卫视,https://live.metshop.top/msp.php?id=xjws
新疆卫视,https://live.goodiptv.club/api/yqgd.php?id=xjws
西藏卫视,https://live.goodiptv.club/api/sxg.php?id=xzwsH264_2000
西藏卫视,https://live.goodiptv.club/api/yqgd.php?id=xzws
云南卫视,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000
云南卫视,https://live.goodiptv.club/api/sxg.php?id=ynws_4000
云南卫视,https://live.goodiptv.club/api/yqgd.php?id=ynws
浙江卫视,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
浙江卫视,https://live.goodiptv.club/api/sxg.php?id=zjwsH265_4000
浙江卫视,https://live.metshop.top/msp.php?id=zjws
浙江卫视,https://live.goodiptv.club/api/yqgd.php?id=zjwshd
